CARID,CUSTID,MODEL,DESCR,VIN,LICPLATE
62000050,10000001,Toyota,Toyota Camry,VSC3OT9UX5E2JNJ7I,4018-NA-4
62000051,10000002,Audi,Audi A7,88O1XZ17V2OL90Z3M,3759-KU-6
62000052,10000003,VW,VW Jetta,1Z63L0AO5B8W6Z43P,9062-LT-7
62000053,10000003,Opel,Opel Corsa,6CPFQ09856KBF3751,4106-VK-7
62000054,10000002,VW,VW Jetta,4IGB87F3Z84Q77LHO,9905-IG-1
62000055,10000001,BMW,BMW M4,4KC7ON772Q47202P8,8168-RU-6
62000056,10000000,Toyota,Toyota RAV4,U5VZNBYW79J2S1KXX,4007-CP-5
62000057,10000000,BMW,BMW M4,A3OGP9YT112Z0P48H,0361-LF-3
62000058,10000004,Audi,Audi A7,WMJ7047UWH35389D9,7492-IG-7
62000059,10000002,VW,VW Jetta,257HI6034K0NR1QM9,3082-ZN-7
62000060,10000001,Opel,Opel Insignia,PXU05UN55UOS5KI86,1204-SZ-7
62000061,10000004,Audi,Audi A7,2Y562C1XXGWW20140,5158-WU-7
62000062,10000004,Opel,Opel Corsa,HJICHYY37Y565MZOK,8604-AI-7
62000063,10000003,VW,VW Golf 5,RG55KI3HUO6SH701J,9104-YE-6
62000064,10000003,BMW,BMW M4,5O3Y42672A0386Y5R,1321-KD-7
62000065,10000000,Opel,Opel Corsa,1OVZ78G759Q33Y291,6382-OF-7
62000066,10000004,VW,VW Jetta,51NORPPD2S3M9VM29,0534-GZ-7
62000067,10000000,Toyota,Toyota RAV4,CZ252V5347ZF75E3H,2214-LZ-7
62000068,10000001,Audi,Audi A7,82O97JRX1G0H4GBQN,2886-SI-7
62000069,10000001,BMW,BMW X6,1RN0BX90B0V96Y3D9,3121-IV-7
62000070,10000002,Audi,Audi A6,NLBHI6UN61IT01EV9,6503-VC-2
62000071,10000004,BMW,BMW X6,SIBPJ633512GM3X72,1604-EP-7
62000072,10000002,BMW,BMW M4,WBF596491Y6WK5367,1531-RV-6
62000073,10000000,Toyota,Toyota RAV4,VA6U0U8XT49C77462,5152-HJ-6
62000074,10000000,VW,VW Golf 4,122P480Q6W0YT65F8,5102-SO-6
62000075,10000003,BMW,BMW M4,2GZPH61724FD7A6D3,3681-DA-7
62000076,10000004,Audi,Audi A6,APW9GOU9IB532HR3I,6464-UG-7
62000077,10000003,Tesla,Tesla Model S,Q22II15AH41OJE42C,0454-DR-5
62000078,10000000,Tesla,Tesla Model S,N93U1IE562C6D1MUE,4556-EO-7
62000079,10000003,Audi,Audi A4,MGAP8UV0544QH36W0,0232-EW-7
62000080,10000000,BMW,BMW X6,5516W1VE96PAVX4K6,4408-WJ-7
62000081,10000004,Audi,Audi A4,DH78IW33FTZ4612SI,7327-DS-7
62000082,10000002,Opel,Opel Insignia,J1R27CRB012219G85,8439-BX-6
62000083,10000004,BMW,BMW M3,C6F564OU4VL6T2033,9107-YZ-7
62000084,10000000,Opel,Opel Corsa,TOVT89E474920362T,6996-KC-6
62000085,10000003,Toyota,Toyota Camry,465VGVO445CDAHP22,5391-FJ-6
62000086,10000000,Opel,Opel Astra H,16H060U68P3MUCLKE,1395-CX-5
62000087,10000003,Tesla,Tesla Model S,31A4UY337192A11H7,1773-ZR-5
62000088,10000001,Toyota,Toyota Camry,MCDE9CSD497H8369I,5956-VC-7
62000089,10000001,BMW,BMW X6,L0O1QGXL7HWIF1OBD,2867-GU-7
62000090,10000000,VW,VW Jetta,51W63V361QPON0O39,1483-VW-7
62000091,10000001,Audi,Audi A7,563PMZ0617URN0330,3127-PN-6
62000092,10000001,VW,VW Jetta,OW18S2R2XRSO439GN,0695-DW-6
62000093,10000001,Toyota,Toyota Camry,495P0F7IP9D79LIG9,2796-YX-5
62000094,10000003,Tesla,Tesla Model S,01ILFNKH2P5JHH2O9,6719-ED-6
62000095,10000002,Tesla,Tesla Model S,58A2758H2Y6797807,0380-LW-7
62000096,10000002,VW,VW Golf 5,16HJ6S299Q18IMR5H,1621-VH-7
62000097,10000004,Opel,Opel Corsa,GX318S1GZ35XW436M,0917-AL-7
62000098,10000000,VW,VW Golf 4,Z4A41HG68KNF0B744,4168-ZV-6
62000099,10000004,Toyota,Toyota RAV4,88ACJX08S02TO2MY1,8662-WX-4
62000100,10000003,BMW,BMW X6,6A1K81EEF3P42IPC6,5775-FZ-6
62000101,10000002,Audi,Audi A4,G4KX5UU1T34N786VQ,1539-FU-7
62000102,10000003,Opel,Opel Corsa,5S544ORQI95V5K6J6,9102-QX-5
62000103,10000000,Opel,Opel Corsa,350UFZ4473R06DO9I,7493-LS-7
62000104,10000001,Audi,Audi A6,A4FCBQL95S1AZT697,4303-BJ-7
62000105,10000003,Toyota,Toyota RAV4,INUEV3NIQ0OXJ2A42,5323-VI-7
62000106,10000003,Audi,Audi A4,Y14BN615O604LLQF6,8385-PH-7
62000107,10000002,VW,VW Jetta,IBN8W9BP11PT16K7K,4692-YZ-7
62000108,10000001,BMW,BMW X6,2RMLCCH4904YF62X6,0167-LE-7
62000109,10000001,Audi,Audi A6,I8F649HAPZ8ZMW384,9319-IH-7
62000110,10000002,Toyota,Toyota Camry,OBF2GPSIR3TJ8OT5W,2512-FQ-7
62000111,10000003,Opel,Opel Astra H,P20UXYAF133W2BC0F,9826-ZM-7
62000112,10000003,Opel,Opel Astra H,1JZB0JX8Q8BR9872Q,8537-RS-7
62000113,10000003,Opel,Opel Corsa,K9CTCV7ZQ3C002ZP7,8785-ZR-7
62000114,10000004,BMW,BMW M3,2K766W62N7D4079HO,5006-VH-7
62000115,10000001,Audi,Audi A4,Q7K1O444L4MY8IO0W,9238-YV-7
62000116,10000002,VW,VW Jetta,A60E4E110TH588UB1,4238-KI-7
62000117,10000004,Audi,Audi A6,7IC69K1DH15VWPD40,6166-LK-6
62000118,10000004,Tesla,Tesla Model S,E4X7R5S6MO90R8G8U,1258-DB-7
62000119,10000004,Toyota,Toyota Camry,NXNOR4JP1ACVE42D2,1466-TM-5
62000120,10000003,Audi,Audi A6,8X01LR8AVHN252LMV,5810-LR-5
62000121,10000000,VW,VW Jetta,DP0JJM34LL2IXF932,5955-OH-7
62000122,10000002,Opel,Opel Insignia,705JH933ZK87L9854,8356-TP-4
62000123,10000000,BMW,BMW M4,I8OG8678EW1R25BT9,7084-KS-7
62000124,10000004,VW,VW Golf 4,PI149E1SE436XX0CE,7880-XO-5
62000125,10000002,Toyota,Toyota Camry,VZ9K8690667H1E1QH,0397-IR-6
62000126,10000003,Opel,Opel Corsa,6Y4F3I4254INBW64A,8359-PQ-7
62000127,10000000,VW,VW Jetta,66DA8I482733252KY,1352-WU-6
62000128,10000001,Audi,Audi A7,9JS8B4XIS098ZLEF4,4039-NP-5
62000129,10000000,Audi,Audi A6,YO22A63084WHMZ8B8,9031-YF-7
62000130,10000000,Audi,Audi A6,8C3R6JSWP284OI8JY,0435-FQ-7
62000131,10000001,BMW,BMW X6,GN706P5VEUT5024F3,1418-IS-7
62000132,10000000,BMW,BMW M4,E3XBP0L632RAJD902,1916-MV-5
62000133,10000004,Audi,Audi A7,16IQ720RM0BD4GGZ7,5988-CM-7
62000134,10000004,Toyota,Toyota RAV4,NYU23BB74RAKI428I,3100-GD-4
62000135,10000001,Opel,Opel Astra H,04A7IHTSQT5Q9CY70,5813-YO-7
62000136,10000004,Opel,Opel Insignia,4OWUFTO89ZFDFJOC8,6714-FI-5
62000137,10000000,VW,VW Jetta,I3488O0666H0AZL02,2860-NC-7
62000138,10000003,BMW,BMW X6,Z83K12EX3D26FANAR,7515-YT-4
62000139,10000002,Audi,Audi A4,11V21Y2HMK7X31E38,4205-DA-7
62000140,10000001,VW,VW Golf 4,709D3P7D3481Z2694,4880-QK-6
62000141,10000004,Audi,Audi A6,X6993Q6CO1GD1T6M6,1860-AG-7
62000142,10000001,Opel,Opel Astra H,M546WI7UZIB3C65O6,2093-WN-5
62000143,10000003,Toyota,Toyota RAV4,32CERT4Y7T48V4UOC,2287-UL-7
62000144,10000000,VW,VW Jetta,4V233X6E63TQYZD76,7581-NU-3
62000145,10000001,VW,VW Golf 4,70A072FIVJ3370VQ8,6172-TV-7
62000146,10000000,BMW,BMW M3,JB9853N9S9UK8Z13D,9119-XZ-6
62000147,10000001,Opel,Opel Astra H,0UZD3727N187V1KN3,5922-SB-7
62000148,10000002,Opel,Opel Corsa,05OD1IL6F9U5SP3L7,3405-KY-7
62000149,10000001,BMW,BMW X6,33DJM5UV9PEMGZ053,7227-NZ-6
62000150,10000004,BMW,BMW X6,LNYS22ITGNQK05WZO,6926-AR-7
62000151,10000002,VW,VW Golf 4,OZ5RQSY5481V00916,2327-EZ-7
62000152,10000002,Audi,Audi A4,23W02138Q0W75937C,8169-NI-6
62000153,10000003,BMW,BMW M4,A408L1YW1V2T864E3,6495-TS-7
62000154,10000004,Opel,Opel Astra H,RV857TKK1529B29N0,1624-RP-4
62000155,10000004,Audi,Audi A4,3V7MZ0ZBRN2Z72GY2,7683-WF-6
62000156,10000000,Toyota,Toyota RAV4,56H6Y065Z9OTRF5AS,5760-QU-5
62000157,10000003,Audi,Audi A7,89TLN805GG9RG76LL,7479-OQ-5
62000158,10000000,Toyota,Toyota RAV4,6D59QK4U65P4G6P06,5056-IK-7
62000159,10000001,Tesla,Tesla Model S,1984G57HN49D2E041,6866-ES-7
62000160,10000000,VW,VW Golf 5,D50ZUL3GF5J22O759,9264-ID-7
62000161,10000003,Audi,Audi A6,3B73PJ4538Z163N12,4272-FW-7
62000162,10000003,VW,VW Jetta,FTP2GV6636JHJ3T5L,1876-UL-7
62000163,10000002,Audi,Audi A6,4629V70JJW12KP3A7,9955-EM-6
62000164,10000004,BMW,BMW M4,JWCWG9Y43HUZU4TOF,2827-MY-6
62000165,10000003,BMW,BMW X6,C085C787121G14CG4,1058-UX-4
62000166,10000000,Opel,Opel Corsa,5B42A1V30SJ42F3D9,5817-GB-7
62000167,10000004,Opel,Opel Insignia,7C1A3XWOM97485U01,5129-YV-6
62000168,10000001,Opel,Opel Corsa,QQ61BWXM7E3EG9AWZ,7172-QH-5
62000169,10000003,Audi,Audi A4,10NU69JPPB0VO4O8E,6513-NY-6
62000170,10000001,BMW,BMW X6,R08SGI8ONQKD43N27,3514-IA-7
62000171,10000003,Audi,Audi A7,734O41LO9M3U22572,6279-HP-7
62000172,10000004,VW,VW Golf 5,42W92786380H0480M,1514-FS-5
62000173,10000002,Toyota,Toyota Camry,03K64UB0X5DI7GM7Q,6156-MY-7
62000174,10000004,VW,VW Golf 5,88821X4260RYW10RW,1582-JN-7
62000175,10000003,Tesla,Tesla Model S,01S858679HA2Q3BL4,2065-OR-7
62000176,10000001,BMW,BMW X6,JX0P06N4T5782BD0C,7942-XY-6
62000177,10000000,Audi,Audi A4,36U3H43GXRJE7CN0T,4446-AM-5
62000178,10000000,VW,VW Golf 4,HH1L8WOAI75YC4FI1,2299-HI-5
62000179,10000000,Opel,Opel Insignia,OUNMT088D94906HVL,7871-AZ-6
62000180,10000000,VW,VW Golf 5,5AYK1YPR9L502IWN8,3298-HP-7
62000181,10000004,Tesla,Tesla Model S,JU97Y40B2SB90K6ZU,6577-SZ-5
62000182,10000002,VW,VW Jetta,1784ORA2O1OT8Q415,9744-ZP-1
62000183,10000001,Opel,Opel Insignia,0A3VN6FC3Y2BB4985,6779-GO-7
62000184,10000003,VW,VW Jetta,7Q0TMV97C9344L741,6546-HG-5
62000185,10000001,VW,VW Golf 5,C0JAKK5Y4B94872DM,5958-FB-7
62000186,10000002,Tesla,Tesla Model S,9X0F69GZNJ10U082X,4363-TZ-7
62000187,10000000,Opel,Opel Insignia,95CSL10WQA74WW373,4535-WR-5
62000188,10000000,Opel,Opel Corsa,5QC7H76GT48SE4QG4,0292-LT-7
62000189,10000004,Audi,Audi A6,81987V1NO65807ST5,5754-HB-7
62000190,10000001,Audi,Audi A6,9I37647812SN29421,0586-CH-5
62000191,10000003,BMW,BMW M3,8864HZ4MY3SJG091K,1021-RK-7
62000192,10000001,Toyota,Toyota Camry,6O5HT4Q032W923N49,8579-OX-7
62000193,10000003,BMW,BMW M4,7R74D09P713652Q66,4477-PK-7
62000194,10000001,Opel,Opel Corsa,6H723MBT33MK44492,7373-AF-5
62000195,10000003,Audi,Audi A7,4R5C298R017F32IUQ,0552-LX-7
62000196,10000000,Toyota,Toyota RAV4,09HZM446744KPPLLF,6916-RC-6
62000197,10000002,Opel,Opel Corsa,9ZG8JD9VQ4H4G17D8,6433-CK-7
62000198,10000004,Toyota,Toyota Camry,XUJ650LMM4513T8OT,1979-GU-6
62000199,10000001,VW,VW Jetta,6CTO64L3131LG2JE2,8656-PJ-6
62000200,10000002,Opel,Opel Astra H,962IH7GXPW4A0QY1U,9977-DE-5
62000201,10000000,Toyota,Toyota Camry,M9M160BD9I996FE30,4389-ZS-7
62000202,10000000,Opel,Opel Corsa,Z0U03I11GMF4A2K75,4724-EA-7
62000203,10000002,BMW,BMW X6,501TG32CDRL7GAF63,8983-XJ-7
62000204,10000003,Opel,Opel Astra H,5262AVU9K9R9AMC08,3616-TO-6
62000205,10000001,Opel,Opel Insignia,62O75E824WHJ2YDHK,6656-OG-5
62000206,10000002,Audi,Audi A7,G60SO3FKB1YQE580C,6426-TU-7
62000207,10000000,Audi,Audi A7,3M93312ZK3TS6KPG8,4128-CL-7
62000208,10000002,Tesla,Tesla Model S,6EC0UQX8QCSMK5NHT,3504-MF-3
62000209,10000002,Audi,Audi A4,3TVG1I8IGCUPL7Y2N,6856-SG-7
62000210,10000004,VW,VW Jetta,63KC05Q56P96V4IKB,8600-IK-7
62000211,10000000,Opel,Opel Astra H,H11H3E542REA03574,8486-BY-7
62000212,10000003,Toyota,Toyota Camry,H2623AQV6S9XDZI13,5126-NY-6
62000213,10000001,VW,VW Jetta,NBA7F2WFZUGK36DYI,5333-ON-5
62000214,10000000,Audi,Audi A7,WD5230G82DU4L6FX2,0638-KF-6
62000215,10000004,Toyota,Toyota RAV4,M7E5963KE9J71KHK5,1443-VJ-7
62000216,10000004,Toyota,Toyota RAV4,0Y765H97YDD8CA7AC,3717-TO-5
62000217,10000002,BMW,BMW X6,266C8069TD2XCC149,6050-FA-7
62000218,10000003,Opel,Opel Astra H,A7201J30ADR7A8J6O,6709-AZ-6
62000219,10000004,Opel,Opel Corsa,N39Z9K4976M393OGT,4455-CB-6
62000220,10000003,Toyota,Toyota RAV4,B6DVM63839Y5G445K,7302-LT-6
62000221,10000000,Audi,Audi A4,3197E274C2CN43003,1304-CT-7
62000222,10000004,Opel,Opel Astra H,6OKEA83Q7XB2V92M6,8424-HQ-6
62000223,10000002,Audi,Audi A6,6051VDF74X7XO4N1K,0476-PV-6
62000224,10000001,Audi,Audi A4,74YXL15NS86139E82,7998-XT-7
62000225,10000004,Opel,Opel Insignia,D4Y6X3O7M4LVEBICE,3721-JZ-7
62000226,10000000,Toyota,Toyota RAV4,UGZC4D550Q187SJ6R,3148-LP-7
62000227,10000002,BMW,BMW M3,W2219PF37YS10GYN8,3709-TX-6
62000228,10000000,Audi,Audi A4,8X31V65T374Z9DTHD,1216-MX-7
62000229,10000000,Opel,Opel Corsa,Y2B1MPFB0L98M3OGX,0515-MH-6
62000230,10000002,Tesla,Tesla Model S,8YB7HLC3F7A3Q4SNF,7173-VQ-7
62000231,10000003,VW,VW Jetta,X04P07WMF3D5B1R97,2296-MJ-5
62000232,10000002,Opel,Opel Astra H,3HTID164BT2RTBZLE,8637-VH-7
62000233,10000003,Toyota,Toyota Camry,D8I7H8MA9KRWX4Q88,7911-KP-7
62000234,10000001,Opel,Opel Corsa,BZH52GTVO1C62GUK4,9963-OG-7
62000235,10000003,Opel,Opel Corsa,692L67216SP8CNF4F,8782-RT-7
62000236,10000002,VW,VW Golf 5,60M6BV66O67Q1ZU9C,6602-NV-7
62000237,10000000,VW,VW Jetta,3PO30UO9KW770J0SF,9998-JF-7
62000238,10000001,BMW,BMW X6,Y97VT31C9OT828Y91,6163-KM-4
62000239,10000000,Toyota,Toyota Camry,J52UTM8NK0Y92R14R,1040-WZ-7
62000240,10000002,Opel,Opel Insignia,RTKA1KRY7K3503A52,6390-WE-7
62000241,10000000,Opel,Opel Astra H,HM2L53GB00DAUWF0G,7908-ZN-5
62000242,10000004,Tesla,Tesla Model S,GLBW995IN2P0B444O,2129-TK-3
62000243,10000003,BMW,BMW X6,798LC1U4Q5471DH94,2552-RW-6
62000244,10000001,BMW,BMW M3,5LY3ZNIFOI106CD5I,1587-KE-5
62000245,10000002,Audi,Audi A6,H03WZD24243JDE9SB,4694-EW-6
62000246,10000004,VW,VW Golf 4,L2EH79Q0637V884S8,4337-TZ-7
62000247,10000003,Opel,Opel Insignia,6KM7865QM303IA537,7209-AK-7
62000248,10000000,BMW,BMW M3,B40DAV1VR58YI3HN8,5273-RC-7
62000249,10000003,VW,VW Golf 5,EVKYM5Y03760GM4ZZ,1942-VJ-6
62000250,10000004,Audi,Audi A6,V5M8PY903V55V8G82,1430-OW-7
62000251,10000001,VW,VW Jetta,FG45027I64FX64W94,5337-ZL-7
62000252,10000002,Audi,Audi A4,1X8IIA4J93UUA1KOS,9426-HC-6
62000253,10000000,BMW,BMW M3,F169GF8PY0O6385A1,6822-KO-4
62000254,10000004,VW,VW Jetta,JMPAS425ANOR4LEZE,9148-AM-7
62000255,10000001,VW,VW Jetta,UNDUN0RSRC3B59V1T,8275-RA-6
62000256,10000004,Audi,Audi A4,VG6O5I1EVWUP8OO8A,5189-ZS-7
62000257,10000000,Opel,Opel Corsa,KEN389O69UT5O7Q2W,4043-KL-7
62000258,10000002,VW,VW Golf 5,42NFI8JDE6CF3W4K5,1992-MH-7
62000259,10000001,Tesla,Tesla Model S,G45J1A2W4HJ8I9518,5456-OF-7
62000260,10000003,BMW,BMW M4,3N76LI6083UKB8E04,1304-QY-6
62000261,10000004,Audi,Audi A6,38Z30690S5Z9AXKOS,9771-YJ-7
62000262,10000002,Tesla,Tesla Model S,67TQS1O3M2558E5X5,7237-DF-6
62000263,10000002,Opel,Opel Astra H,7ZANBOHYX6Q4RAXRS,0444-JH-7
62000264,10000004,Tesla,Tesla Model S,2V2Z62W0B0CD1H34C,3234-UP-1
62000265,10000000,Tesla,Tesla Model S,4TL3AX2W1X3JAL920,2175-NP-6
62000266,10000004,Audi,Audi A7,21O9XH4AEKY53XT7T,3209-MO-4
62000267,10000002,Audi,Audi A4,2906AM1F4SQGZMX14,9453-HL-5
62000268,10000002,Opel,Opel Corsa,T7JYUJ7AMFE18JC24,7355-PQ-6
62000269,10000003,VW,VW Golf 4,43JAT01E49L2VRS42,0006-AU-7
62000270,10000000,BMW,BMW M4,ILY080EU7RXA30W36,7701-DT-7
62000271,10000004,BMW,BMW M4,9CU30NDKJZ4A44489,3986-CA-4
62000272,10000000,Audi,Audi A6,D6ZY572X0VLR60R2O,0958-YD-7
62000273,10000002,BMW,BMW M4,P57OI4L8V40IWVMF4,0209-KH-6
62000274,10000002,VW,VW Golf 5,7V27X2S11HH66136B,2631-AU-5
62000275,10000003,Toyota,Toyota Camry,585T720098KH2EX81,9466-XW-7
62000276,10000001,Toyota,Toyota RAV4,4594E3UG3400Z5ETQ,8524-DF-7
62000277,10000003,Opel,Opel Astra H,HK816C5K6RBPXN3KU,1062-AI-7
62000278,10000004,BMW,BMW M4,8763UJ4RTDN2NN60R,4655-KP-7
62000279,10000001,VW,VW Golf 5,46NL433747ER6LQ73,2215-NB-7
62000280,10000000,BMW,BMW M4,Z34G77583QI284BKR,9372-SD-4
62000281,10000002,VW,VW Golf 4,G4875L65W37EZYUV8,1373-JG-5
62000282,10000003,Tesla,Tesla Model S,TKGJ8T6A7E1968501,6678-TV-7
62000283,10000004,Audi,Audi A7,39O76P1P54RSBUP21,2645-PF-7
62000284,10000002,VW,VW Golf 4,9C54P1YO2CWE5UE25,0689-KP-5
62000285,10000001,Audi,Audi A6,62OXIGS2F151L9DAP,1868-FM-6
62000286,10000004,VW,VW Jetta,DBDDF06G4NDY30160,5015-JY-6
62000287,10000000,Toyota,Toyota RAV4,2977A5E4D0I772609,8942-ZE-7
62000288,10000002,Audi,Audi A7,6KX0Z57HD7S1VX69M,7661-NJ-6
62000289,10000004,VW,VW Jetta,4G6FO7B20943003T2,5524-LO-5
62000290,10000004,Toyota,Toyota Camry,3L632U0KL85DY7290,3470-TX-2
62000291,10000002,Toyota,Toyota Camry,D3N99NEPR2N5AN818,4146-NR-4
62000292,10000002,Opel,Opel Insignia,8I5GIABIV8P1LZ5QY,1589-TJ-4
62000293,10000001,Toyota,Toyota RAV4,W41S6Z8QF62HE93Y7,1920-HU-6
62000294,10000000,Audi,Audi A4,63780268EK07B1K00,3903-DS-6
62000295,10000002,Audi,Audi A4,C1Q231QE83MO9J20C,4997-MY-6
62000296,10000004,VW,VW Golf 5,8TIF1561X92X8VTN8,3021-RI-7
62000297,10000003,VW,VW Golf 4,46FT355Y66U623DZ0,9464-QY-6
62000298,10000003,BMW,BMW M3,8GKTJU5796GU8NPH8,8829-SC-7
62000299,10000001,Audi,Audi A6,2K9V71WGVPOXJ0QN6,2156-SH-7
62000300,10000002,Toyota,Toyota Camry,7475CGV881YQ6B38E,4963-DM-7
62000301,10000000,Tesla,Tesla Model S,IA1XWDB91REA8Y7AC,5065-EH-6
62000302,10000000,Tesla,Tesla Model S,37I3829H4A5L4Y5Y0,1933-XK-7
62000303,10000003,Tesla,Tesla Model S,JGU8F1KG0YG4U0HN2,0624-WR-7
62000304,10000000,Toyota,Toyota RAV4,H58693R9RF8VO7D7W,8446-LP-5
62000305,10000001,Audi,Audi A4,537NL6SQI0J79TM2N,6163-IY-7
62000306,10000004,Toyota,Toyota RAV4,8W477B3B0XGVSX39P,3587-OP-6
62000307,10000000,BMW,BMW X6,RWK36FYF9K9VOT536,4749-XQ-7
62000308,10000003,BMW,BMW M4,4IA57597MIJ18YOK2,1006-NK-5
62000309,10000002,Opel,Opel Corsa,497EC6308ZZ0Y417I,6991-YR-7
62000310,10000003,Toyota,Toyota Camry,UQ1FY9IR1KKM8OOX7,9418-XM-7
62000311,10000000,VW,VW Golf 5,E4NWY0E09SUAJ11X5,1883-XM-7
62000312,10000001,VW,VW Jetta,3EUF3Z8R446BUK5S5,6309-CY-7
62000313,10000004,VW,VW Golf 5,F59MKQ1C65201V6S4,7464-OC-5
62000314,10000004,Audi,Audi A7,X5U9310UQMXMF4CA6,3466-OE-7
62000315,10000004,Audi,Audi A4,GV697TP023E8OW275,0902-YN-6
62000316,10000002,Toyota,Toyota RAV4,M0TG6O61B43DHJF03,7192-LE-7
62000317,10000002,Toyota,Toyota Camry,22YZMCE17JH208A30,6915-FC-7
62000318,10000003,VW,VW Golf 4,8SU0SVN44DW0NDCX9,8915-ZP-7
62000319,10000004,VW,VW Golf 4,069Q0M4FEW0K9AB34,1348-IB-5
62000320,10000004,Audi,Audi A4,GY44IPF4SVCR3B7ID,3319-PS-7
62000321,10000003,Toyota,Toyota Camry,SI4B45449D2842786,2364-LR-5
62000322,10000003,Opel,Opel Corsa,T1RZD5PGO56DP00ZK,6781-WO-6
62000323,10000004,BMW,BMW M3,24271E4K446K79MM2,9148-RP-5
62000324,10000000,Toyota,Toyota Camry,UQGG1ZQSWA1KX8L9H,0586-YP-7
62000325,10000001,Opel,Opel Corsa,F30L387625GAL2SJU,5131-VS-6
62000326,10000002,Audi,Audi A4,Y25617BK826CKA111,7369-LH-7
62000327,10000004,VW,VW Jetta,GEE389OGJX480O66Z,0389-KG-6
